,prim_okved,zsk,inn_type,company_age,phone_mask,is_fraud
90,81.10,-1,1,mid,7904160,0
91,43.99.9,-1,2,old,7964492,0
93,96.02,-1,2,old,7900049,0
94,47.29,-1,2,mid,7994015,0
95,46.73.6,2,1,mid,7916701,1
96,69.20.1,-1,1,new,7992427,0
97,46.73.6,1,1,mid,7936240,1
98,47.91,-1,2,mid,7905221,1
99,46.90,1,1,mid,7985864,1
100,47.91,-1,2,mid,7932254,0
101,45.32,1,1,mid,7985544,1
102,43.21,-1,1,mid,7925328,1
103,62.01,1,1,mid,7920225,0
104,68.31.12,-1,2,mid,7903614,0
105,95.11,-1,2,mid,7902997,0
106,43.39,-1,1,mid,7992190,1
107,62.01,1,2,mid,7994426,0
108,47.91,-1,2,mid,7908072,1
109,47.78,-1,2,old,7963357,1
110,43.99.9,1,2,mid,7911644,1
111,43.21,-1,2,mid,7999289,0
113,79.11,-1,2,old,7926263,0
115,56.10,-1,2,mid,7912762,0
116,47.82.2,-1,2,mid,7965584,0
117,46.73,-1,2,old,7918684,0
118,43.21,2,2,mid,7921051,0
119,43.31,1,1,mid,7916597,0
121,70.22,-1,1,mid,7921718,1
122,49.41.2,-1,2,old,7912763,1
123,56.10,-1,2,old,7922777,0
124,47.91,1,2,mid,7988283,0
125,41.20,1,2,mid,7953158,1
126,46.90,2,1,mid,7952234,1
127,41.20,-1,1,mid,7929086,1
128,71.12.1,-1,1,old,7962829,0
129,46.43.1,-1,1,mid,7960821,0
130,43.29,1,2,mid,7999292,1
131,18.12,-1,2,mid,7987297,0
132,46.73,2,1,mid,7980705,1
133,52.10,1,1,old,7925677,0
134,49.41,-1,1,mid,7913757,0
135,41.20,2,1,mid,7930430,0
136,47.91,-1,2,mid,7958508,0
137,68.32,-1,1,mid,7978225,0
138,43.22,-1,2,mid,7918434,0
139,31.09,-1,1,mid,7995337,0
140,41.20,-1,1,new,7936666,0
141,46.90,2,1,mid,7930802,0
143,85.41.9,-1,1,mid,7916921,0
144,41.20,2,2,mid,7912620,0
145,95.11,-1,2,old,7916318,1
146,74.20,-1,2,old,7913060,0
147,47.91,-1,2,mid,7926325,0
148,43.21,2,2,mid,7982295,1
149,46.49.42,-1,1,old,7925494,0
150,46.90,-1,2,mid,7950670,1
151,59.20,-1,2,mid,7981253,1
152,96.02,-1,2,new,7988146,0
153,98.10,1,1,mid,7910566,0
154,20.42,-1,1,mid,7903103,0
155,45.20,-1,2,mid,7996938,0
156,70.22,-1,2,old,7928434,0
157,90.02,-1,2,mid,7916615,0
158,93.29,2,1,mid,7904762,0
159,46.73,2,1,old,7900538,1
160,41.20,2,1,mid,7967378,1
161,41.20,2,2,mid,7901868,1
162,45.32,-1,2,mid,7936888,1
163,62.01,-1,2,mid,7995340,0
164,43.29,-1,1,mid,7911921,1
165,47.59,-1,2,mid,7995337,0
166,22.23,-1,2,old,7926658,0
167,47.91,-1,2,old,7977700,0
168,52.10,1,1,mid,7913907,0
169,62.01,1,1,mid,7999139,0
170,43.21,2,2,mid,7987929,1
171,41.20,-1,1,mid,7982834,1
172,53.20.3,-1,2,mid,7915243,0
173,47.91,-1,2,old,7961470,0
174,46.17,-1,2,mid,7937382,0
175,46.13,-1,1,mid,7910752,0
176,47.78,-1,2,new,7928128,0
177,74.20,-1,2,old,7938553,0
178,59.11,-1,2,mid,7910454,0
179,47.91,1,2,mid,7983302,0
180,53.20,1,1,new,7916594,1
181,62.01,-1,2,mid,7908176,0
182,46.90,1,1,old,7932126,0
183,46.90,-1,1,mid,7925114,1
184,49.39,-1,2,mid,7930703,0
186,62.01,-1,2,mid,7952927,0
187,45.31,1,1,mid,7962666,1
188,45.31,2,1,mid,7950499,1
189,47.91.2,-1,1,mid,7912958,0
190,41.20,1,1,old,7901208,1
191,95.11,-1,2,mid,7916499,0
192,28.13,-1,1,mid,7951724,0
193,49.41,-1,1,mid,7911435,1
194,62.01,-1,2,mid,7921984,0
195,74.20,-1,2,mid,7953144,0
197,41.20,1,1,mid,7969214,1
198,47.71,-1,2,old,7999607,0
199,46.73,2,1,mid,7916554,0
200,47.91,-1,2,old,7977679,0
201,47.91.2,-1,2,new,7977640,1
202,47.91,-1,2,mid,7916782,0
203,62.01,-1,2,old,7905011,0
204,46.77,1,1,mid,7930284,1
205,49.31.21,-1,1,mid,7909020,0
206,49.41,1,1,mid,7916395,1
207,43.29,-1,2,mid,7960845,0
208,46.90,1,1,mid,7916973,1
209,41.20,-1,1,mid,7931387,1
210,43.31,-1,2,mid,7926547,0
212,47.11,-1,2,mid,7908285,0
213,43.21,-1,2,mid,7951080,0
214,25.11,1,1,mid,7914909,1
215,43.39,-1,1,mid,7951814,0
216,49.32,-1,2,mid,7903502,0
217,25.11,1,1,mid,7980133,1
218,47.91.1,2,1,mid,7951684,1
219,68.10,-1,2,new,7953518,0
220,46.42.11,-1,2,new,7952133,0
221,46.73.6,2,1,mid,7925404,1
222,82.11,2,1,mid,7983138,1
223,85.41.9,-1,2,old,7913971,1
224,69.20,-1,2,old,7914704,0
225,46.90,1,1,mid,7951380,0
226,49.41,1,2,old,7920513,1
227,45.20,-1,2,mid,7913235,0
228,41.20,2,1,old,7927678,1
229,43.21,-1,2,mid,7928406,1
230,41.20,2,1,mid,7964196,0
231,79.11,-1,1,old,7922222,0
232,47.91,-1,2,mid,7916453,0
233,43.99.5,1,2,new,7987924,1
234,41.10,2,1,mid,7911047,1
235,78.10,-1,2,old,7905723,0
236,47.91,-1,2,mid,7977445,1
237,31.09,-1,2,mid,7995988,0
238,49.41,-1,2,new,7915879,0
239,46.90,1,1,mid,7906653,1
240,28.41,1,1,old,7918566,0
241,47.26,-1,2,mid,7983173,1
242,32.13,-1,2,mid,7901188,0
243,47.91,-1,2,mid,7928909,0
244,43.31,2,1,mid,7929077,0
245,41.20,2,2,mid,7910697,0
246,49.41,1,1,new,7915741,0
247,62.02,-1,2,old,7963719,0
248,94.99,-1,1,mid,7905737,0
249,16.24,-1,1,mid,7930710,1
250,22.29,-1,1,new,7916920,0
251,46.73,1,1,mid,7911513,0
252,47.75,-1,2,old,7910575,0
253,47.11,1,1,mid,7963678,0
254,59.11,-1,2,old,7913833,1
255,43.22,-1,1,old,7996743,0
256,47.75,-1,2,mid,7913378,0
257,49.42,-1,2,mid,7968118,0
258,46.90,1,1,mid,7983136,1
259,46.75,-1,1,old,7995307,0
260,47.91.2,2,1,old,7923187,0
261,62.09,-1,2,old,7915009,1
262,41.20,2,1,old,7926936,0
263,45.32,-1,1,mid,7913987,1
264,35.30.14,-1,1,old,7908745,0
265,62.01,-1,2,mid,7921953,0
266,64.99,-1,1,old,7952875,1
267,70.22,-1,1,mid,7960266,0
268,47.91.2,-1,2,mid,7911342,0
269,41.20,2,1,mid,7913897,1
270,43.32,-1,2,mid,7913522,1
271,49.42,-1,2,old,7908512,0
272,49.32,-1,2,mid,7915116,0
273,74.10,-1,2,mid,7985482,0
274,41.20,-1,1,mid,7917109,0
275,81.21,1,2,mid,7923206,1
276,46.73.6,1,1,mid,7901990,1
277,56.10.21,-1,2,new,7963958,0
278,64.99.7,-1,1,mid,7926078,0
280,62.01,-1,2,mid,7963075,0
281,62.02,-1,2,mid,7965117,0
282,85.41,-1,2,mid,7999799,1
283,46.90,1,1,mid,7916153,1
284,46.90,-1,1,mid,7985227,1
285,41.20,2,1,old,7911513,1
286,49.41,-1,2,mid,7953018,0
287,43.32.3,-1,1,mid,7929041,1
288,46.73,2,2,mid,7902265,0
289,77.11,1,2,new,7903436,0
290,43.91,2,1,mid,7906123,1
291,61.10,-1,2,mid,7903729,0
293,43.91,1,2,mid,7922161,0
294,46.41,-1,2,new,7910467,0
295,47.41,1,1,mid,7985966,1
296,46.90,2,1,mid,7900099,0
297,68.31,-1,2,mid,7925271,1
298,47.72.1,-1,2,old,7921439,1
299,47.11,1,2,new,7920902,1
300,01.50,-1,2,mid,7977267,0
301,45.20,2,2,mid,7913703,1
302,46.19,-1,1,mid,7982712,0
303,41.20,-1,1,mid,7919019,0
304,78.10,2,1,mid,7912752,1
306,16.10,-1,2,old,7989625,1
307,62.01,-1,2,old,7911780,1
308,53.20,-1,2,mid,7928163,0
309,45.20,-1,2,mid,7994438,1
310,43.29,2,2,mid,7909959,0
311,47.91,-1,2,mid,7931540,0
312,73.11,-1,2,mid,7914399,1
313,14.19,-1,2,mid,7964919,0
314,74.10,-1,2,old,7916244,1
315,46.73,2,2,mid,7983143,0
316,81.10,2,1,mid,7969215,1
317,47.91.2,-1,1,mid,7937809,0
318,41.20,2,1,new,7901900,0
319,46.90,-1,2,mid,7921123,0
320,45.31,-1,1,old,7922232,1
321,46.13,2,2,mid,7921435,1
322,49.42,-1,2,old,7926202,0
323,59.11,-1,1,mid,7987831,0
324,56.10,-1,2,old,7927418,0
325,46.19,1,1,old,7929348,1
326,41.20,-1,2,mid,7921359,0
327,47.91,-1,2,mid,7918210,0
328,49.41,-1,2,mid,7926569,0
329,41.20,1,2,mid,7910825,1
330,63.11,1,1,new,7996693,1
331,94.20,-1,1,mid,7999457,0
332,49.42,1,1,mid,7905258,0
333,73.11,1,1,mid,7911547,1
334,43.32,2,1,mid,7906883,1
335,81.22,2,1,mid,7903837,0
336,46.73,2,1,mid,7985827,1
337,68.32,-1,2,mid,7950604,0
338,46.90,1,2,mid,7919369,1
339,73.11,-1,2,mid,7950948,0
340,59.11,-1,2,mid,7995626,1
341,49.31.21,-1,1,mid,7967538,0
342,43.31,1,1,mid,7962358,1
343,47.19,-1,2,old,7961300,1
344,69.10,-1,1,old,7903370,0
345,43.39,2,1,mid,7903764,0
346,43.21,-1,2,old,7928315,0
347,43.21,2,1,mid,7912288,1
348,45.31,2,2,mid,7909659,1
349,62.09,-1,1,mid,7914008,0
350,41.20,-1,2,mid,7929102,0
351,62.02,-1,1,mid,7922677,0
352,73.11,-1,2,old,7926931,0
353,62.03,-1,2,mid,7951690,0
354,62.01,-1,2,mid,7993416,1
355,45.31,1,1,mid,7901999,0
356,47.64,-1,1,old,7977088,0
357,31.09,-1,1,mid,7903508,0
358,47.91,-1,2,mid,7920463,0
359,33.12,-1,2,mid,7937204,0
360,62.01,-1,2,mid,7919048,0
361,47.76,-1,2,mid,7999350,0
362,31.09,-1,2,old,7938556,0
363,46.52,2,2,mid,7911746,1
364,46.73,1,1,new,7962103,0
365,16.21,1,2,old,7911127,1
366,47.91,-1,2,old,7915702,0
367,46.38,-1,1,old,7928434,0
368,46.73,2,2,mid,7933107,1
369,73.11,1,1,old,7904309,1
370,74.20,1,2,mid,7913474,1
371,47.91,1,1,mid,7905855,1
372,41.10,-1,1,old,7916253,1
373,53.20,-1,2,mid,7922263,0
374,43.21,1,1,mid,7922631,1
375,81.22,-1,2,new,7981441,1
376,46.90,1,2,old,7951385,0
377,47.91,-1,2,old,7977266,0
378,47.91.1,1,2,mid,7996381,0
379,43.39,1,1,mid,7986723,1
380,45.31,1,2,mid,7908089,1
381,46.19,1,1,mid,7916321,1
382,49.41,-1,2,mid,7929306,0
383,47.19,-1,2,old,7929385,0
384,46.90,1,1,old,7951676,1
385,43.29,-1,1,old,7996456,1
386,46.73,1,1,mid,7912696,1
387,43.22,-1,1,mid,7999858,1
388,73.20,-1,2,mid,7912443,1
389,41.20,2,1,mid,7964451,0
390,82.99,2,1,mid,7951735,1
391,62.01,-1,1,old,7904991,0
392,95.11,1,2,mid,7916037,1
393,62.09,2,1,mid,,1
394,43.12.1,1,1,mid,7916651,1
395,41.20,2,1,mid,7953513,0
396,82.92,1,2,mid,7952270,0
397,78.1,-1,1,mid,7926996,0
398,46.73,1,2,mid,7912031,0
399,45.20.3,-1,2,old,7911122,0
400,62.09,1,2,old,7912203,1
401,46.51,2,1,mid,7924583,0
402,47.91,-1,2,old,7926602,0
403,95.21,1,1,mid,7985967,1
404,33.12,-1,1,mid,7929635,0
405,46.52,-1,1,old,7911888,1
406,96.09,-1,2,new,7950714,0
407,56.10,-1,1,mid,7906814,0
408,41.20,2,1,mid,7930239,0
409,49.32,-1,2,mid,7938435,1
410,62.09,-1,2,old,7928172,0
411,45.20,-1,2,mid,7937604,0
412,45.31,1,1,mid,7996239,1
413,47.99.2,-1,2,mid,7927243,0
414,46.90,-1,1,mid,7960958,0
415,41.20,-1,1,mid,7916085,1
416,46.73,1,1,old,7905418,1
417,85.41,-1,2,new,7965541,0
418,46.73,1,2,mid,7932114,0
419,62.01,-1,2,old,7921375,0
420,71.20,-1,1,mid,7912573,1
421,49.4,-1,2,mid,7925998,0
422,62.01,1,1,mid,7985974,0
423,46.18,-1,2,mid,7930277,1
424,73.11,-1,2,mid,7902631,0
425,49.41,-1,2,new,7918878,0
426,49.41,2,1,mid,7983138,1
427,41.20,-1,1,mid,7915522,1
428,45.20,-1,2,mid,7922504,0
429,46.18,-1,1,old,7903296,0
430,46.90,2,1,mid,7925970,0
431,46.71,1,1,mid,7961155,1
432,41.20,2,1,mid,7960164,0
433,41.20,-1,2,mid,7922898,0
434,96.0,2,2,mid,7952898,0
435,43.31,1,1,mid,7969702,1
436,46.69,-1,1,mid,7982285,0
437,25.99,-1,1,mid,7908489,0
438,68.31.31,2,2,mid,7982123,1
439,46.73,1,1,old,7951862,1
440,43.32,-1,2,old,7986754,0
442,96.02.2,-1,2,old,7999691,0
443,46.90,1,2,mid,7953791,0
444,45.20,-1,2,mid,7951529,1
445,81.10,1,2,mid,7952265,0
446,41.10,1,1,mid,7920292,1
447,47.91,-1,2,mid,7999099,1
448,47.78.9,-1,2,new,7930783,0
449,43.31,2,1,mid,7929396,1
450,68.32,1,1,mid,7915894,0
451,45.20,-1,2,old,7963191,0
452,42.11,-1,2,old,7953892,0
453,41.10,-1,2,mid,7924811,0
454,70.22,1,1,mid,7968722,0
455,46.46.2,-1,1,mid,7901793,0
456,46.73.4,1,1,old,7911210,1
457,68.20,-1,2,mid,7913904,0
458,41.20,-1,2,new,7905742,0
459,46.44.2,1,1,mid,7930710,1
460,46.90,2,1,mid,7913785,1
461,41.20,-1,1,mid,7963942,0
462,46.90,2,1,mid,7951200,1
463,62.02,2,2,mid,7981106,1
464,62.01,1,2,mid,7938889,0
466,23.61,2,1,mid,7921052,0
467,47.5,-1,2,old,7916192,0
468,81.22,1,2,new,7922185,0
469,62.01,-1,2,old,7968404,1
470,41.20,-1,2,old,7987536,0
471,25.62,-1,1,mid,7952262,0
472,49.41,1,2,mid,7977458,1
473,87.90,-1,1,old,7952615,0
474,47.91,2,2,mid,7922201,1
475,45.32,-1,1,mid,7985966,0
476,46.45,-1,1,old,7938539,1
477,46.76,-1,1,mid,7985929,1
478,43.22,2,2,mid,7961239,0
479,73.11,-1,2,mid,7918654,1
480,13.92,-1,2,new,7915837,0
481,47.19,-1,2,new,7921856,0
482,95.22,-1,1,new,7926088,1
483,45.32,-1,2,mid,7985966,1
484,41.20,1,1,mid,7917295,0
485,68.31,-1,2,mid,7939715,0
486,46.90,1,1,mid,7967063,1
487,68.20,-1,2,mid,7980659,0
488,46.90,-1,2,old,7916939,0
489,46.90,2,1,mid,7925626,1
490,43.29,1,1,old,7931534,0
491,52.23.1,1,1,mid,7999963,0
492,46.71,1,1,old,7915814,1
494,46.73,1,1,old,7952065,1
495,41.20,-1,1,mid,7915080,1
496,63.11.1,-1,2,mid,7911604,0
497,32.99.6,-1,2,old,7913371,1
499,56.10,-1,2,old,7921391,0
500,93.29.9,-1,1,mid,7965104,1
501,46.73.6,-1,1,old,7929128,1
502,41.20,2,1,mid,7921681,0
503,41.20,-1,1,old,7915088,0
504,46.49,-1,1,mid,7908933,1
505,46.73,1,1,mid,7916033,1
506,49.41,-1,2,old,7960687,1
507,69.20,1,2,new,7982278,1
508,46.90,1,1,mid,7911510,1
509,45.31,2,1,mid,7951241,1
510,68.20,2,1,mid,7917815,1
511,46.73,2,1,mid,7915621,1
512,43.21,2,2,mid,7900950,1
513,45.20,2,1,mid,7925228,1
514,43.29,2,2,mid,7985385,1
515,46.69,1,1,new,7926898,1
516,69.10,-1,1,old,7922487,0
517,43.22,1,1,mid,7951909,1
518,95.11,-1,2,mid,7913069,1
519,70.22,-1,1,mid,7981500,1
520,62.01,-1,2,mid,7900628,0
521,49.41,2,2,new,7985998,1
522,47.91,-1,2,mid,7995872,0
523,81.22,-1,2,new,7922034,0
525,47.91.2,-1,1,mid,7910115,0
526,49.41,-1,2,mid,7964646,1
527,73.11,-1,2,old,7926568,0
528,93.29,-1,1,mid,7909016,0
529,45.31,-1,1,mid,7913915,0
530,46.90,-1,2,mid,7995082,0
531,43.21,-1,1,mid,7985797,1
532,46.90,1,2,new,7901277,1
533,62.02,-1,2,old,7964981,0
534,27.40,-1,2,new,7982235,0
535,41.20,2,1,mid,7999227,0
536,32.13,-1,2,mid,7919184,0
537,47.21,1,2,mid,7994107,1
538,47.71,2,2,mid,7996702,0
539,63.11,1,2,mid,7950849,0
540,62.09,-1,2,old,7927695,0
541,49.41,-1,1,mid,7927909,1
542,47.29,-1,1,old,7951496,0
544,43.39,-1,2,old,7995324,0
545,46.90,1,1,mid,7908048,1
546,43.39,2,2,mid,7981273,1
547,46.90,2,1,mid,7982675,0
548,41.20,-1,1,mid,7912792,0
549,62.02,-1,2,old,7923163,0
550,43.29,1,2,mid,7960840,1
551,46.73,2,1,mid,7927977,0
552,46.73,-1,1,new,7932531,0
553,73.11,-1,2,old,7963753,0
554,63.99.1,-1,2,new,7965287,1
555,62.02,-1,2,mid,7904359,1
556,63.99.1,-1,2,mid,7967736,0
557,63.99.1,-1,2,old,7982242,1
558,14.19,-1,2,mid,7931337,0
559,41.20,-1,2,mid,7919999,1
560,45.20,-1,2,mid,7914433,0
561,46.69,1,1,old,7913900,1
562,45.20,1,1,mid,7951472,1
563,63.12,1,2,mid,7951663,1
564,47.52,-1,2,new,7919766,1
565,43.39,-1,1,mid,7930268,1
566,46.90,-1,1,mid,7912204,1
567,46.73,-1,1,mid,7980516,1
568,81.21,1,2,mid,7900129,0
569,43.21,2,2,mid,7915903,0
572,49.41,-1,1,mid,7912877,0
573,90.03,-1,2,mid,7910605,0
574,47.91,-1,2,mid,7921043,0
575,46.90,2,1,mid,7915327,0
576,46.73,-1,1,mid,7923175,1
577,62.01,-1,1,old,7983111,1
578,47.91.2,1,2,new,7996740,1
579,46.90,1,1,old,7900073,1
580,69.20,-1,1,mid,7950336,0
581,46.73.6,2,1,mid,7925348,1
582,49.31.21,-1,1,old,7950603,0
584,49.32,-1,2,mid,7963257,0
585,61.10.1,2,1,mid,7917877,0
586,49.32,1,2,old,7999201,1
587,68.2,-1,2,old,7917937,1
589,0.00,1,1,mid,7960125,1
590,49.31,-1,2,new,7963042,0
591,41.20,2,1,mid,7985047,0
592,41.20,1,1,mid,7961012,0
593,41.20,-1,2,new,7964630,1
594,43.12.3,-1,1,mid,7921769,0
595,43.99,-1,2,mid,7908300,0
596,43.91,-1,1,mid,7919618,0
597,46.76,1,1,mid,7963996,0
598,49.41.2,-1,2,new,7922261,0
599,47.78,-1,2,mid,7950033,1
600,69.20,-1,2,mid,7921904,1
601,49.42,-1,2,new,7960804,0
602,41.20,2,2,mid,7919878,0
603,62.01,-1,2,new,7925076,0
604,50.20,2,1,mid,7900541,1
605,69.20,-1,2,mid,7926152,0
606,64.20,-1,1,old,7963486,0
607,46.74.3,2,1,mid,7904307,1
608,46.73,2,1,mid,7962390,0
609,69.20,1,1,mid,7985465,1
610,47.91,-1,2,mid,7952724,0
611,46.74,1,1,mid,7962933,1
612,46.90,2,1,mid,7912649,0
613,46.52,1,1,mid,7930889,0
614,46.72,-1,1,mid,7901282,0
615,43.99,-1,2,mid,7931587,0
616,41.20,-1,1,mid,7985216,1
617,91.01,-1,2,mid,7913678,0
618,47.91,-1,2,mid,7925890,0
619,47.99.1,-1,2,mid,7926113,1
620,49.41,-1,2,old,7926251,1
621,49.42,-1,2,old,7922220,1
622,45.31,1,1,mid,7925804,0
623,46.73,2,1,mid,7912809,1
624,41.20,-1,2,mid,7908021,1
625,47.91,-1,2,mid,7909909,0
626,46.72.2,-1,1,mid,7911818,1
627,47.59.1,-1,1,mid,7923355,0
628,45.3,-1,2,old,7920430,0
629,43.32,-1,2,mid,7983303,0
630,68.32,-1,2,old,7926877,0
631,43.31,-1,2,mid,7950969,1
632,95.11,-1,2,mid,7996770,1
633,47.91,-1,2,old,7993011,0
634,43.34,2,1,mid,7906104,0
635,46.90,-1,1,mid,7911837,1
636,62.01,-1,2,mid,7982320,0
637,95.11,-1,2,mid,7910962,1
638,43.21,2,2,mid,7994437,0
639,56.10.1,-1,2,mid,7921505,0
640,46.90,2,2,mid,7904937,1
641,96.09,1,2,old,7965075,1
642,47.91,-1,2,mid,7953839,0
643,63.12,-1,2,mid,7994413,0
644,41.20,1,1,mid,7967194,1
645,16.10,1,1,mid,7913228,0
646,96.02,-1,2,old,7999843,0
647,62.09,-1,2,old,7919723,0
648,49.41,2,2,mid,7921250,1
649,52.24,2,1,mid,7926849,0
650,74.10,-1,2,mid,7903231,0
651,47.91,-1,2,old,7913613,1
652,95.21,1,1,mid,7905647,1
653,85.41.9,-1,2,old,7964364,0
654,46.73.1,-1,1,mid,7904326,1
655,41.20,2,1,mid,7925309,0
656,62.01,-1,2,mid,7913911,0
658,46.73.6,-1,2,old,7963317,0
659,46.69,-1,1,mid,7910126,0
660,49.32,-1,2,mid,7988526,0
661,42.22,2,1,mid,7995847,1
662,33.12,-1,2,mid,7928451,0
663,82.11,2,2,mid,7999196,0
665,47.19,-1,2,mid,7930420,0
666,94.99,-1,1,mid,7910405,0
667,64.92.7,1,1,new,7912049,0
668,46.72,-1,2,new,7937236,0
669,81.30,1,2,mid,7962858,1
670,63.11,-1,1,mid,7996346,1
671,43.11,-1,2,mid,7920135,0
672,69.20,-1,1,mid,7995477,0
673,43.39,2,1,mid,7919617,0
674,46.73.6,2,1,mid,7916514,1
675,47.42,-1,2,mid,7919929,0
676,62.01,-1,2,mid,7925998,0
677,73.11,2,1,mid,7913464,1
678,47.30.2,-1,2,old,7926577,0
679,56.30,-1,2,mid,7980563,0
680,47.91,-1,2,old,7995908,0
681,62.01,-1,2,old,7904553,0
682,41.20,1,1,mid,7968894,1
683,23.99,1,1,mid,7922200,0
684,95.24,-1,2,old,7951848,0
685,47.91,-1,2,old,7925200,0
686,49.42,2,2,mid,7953581,0
687,62.02,-1,2,mid,7999519,0
688,47.52.79,-1,2,old,7950815,0
689,63.11,1,2,new,7987795,0
690,46.90,1,1,mid,7928142,1
691,46.90,2,2,mid,7962247,0
692,43.29,-1,1,old,7910373,1
693,47.11,-1,2,mid,7950410,1
694,46.90,2,1,mid,7967633,0
695,47.11,-1,2,old,7999333,0
696,45.32,-1,2,mid,7919713,1
697,43.21,-1,2,new,7986915,0
698,46.73.4,2,1,old,7913799,1
699,47.91,-1,2,mid,7925302,1
701,43.29,2,2,mid,7901037,1
702,45.32,-1,2,mid,7961302,1
703,81.29,1,2,mid,7920677,1
704,46.32,1,1,mid,7920202,1
705,46.73,2,1,old,7967737,1
706,47.52.7,-1,2,mid,7929991,0
708,46.32.1,1,1,mid,7963220,0
709,43.21,-1,2,mid,7910833,1
710,47.91,-1,2,mid,7989262,0
711,43.29,-1,1,mid,7982298,1
712,43.39,2,1,mid,7926184,1
713,45.31,1,2,mid,7993934,1
714,69.10,-1,2,mid,7931341,0
715,46.45,1,1,mid,7921005,1
716,47.91.2,-1,2,mid,7965044,0
717,49.39,-1,2,old,7916199,0
718,49.42,1,2,old,7939377,1
719,43.39,2,2,mid,7986950,1
720,71.12,-1,1,mid,7903256,0
722,46.71,1,1,mid,7985880,1
723,73.11,-1,2,old,7963538,0
724,62.01,1,2,mid,7927610,0
725,71.12,-1,2,old,7929400,0
726,49.41,1,1,mid,7966503,0
727,45.32,-1,2,mid,7918175,1
728,49.32,-1,2,mid,7912581,0
729,18.12,-1,2,old,7909409,0
730,46.73,2,1,old,7952069,1
731,43.32,2,2,mid,7963086,1
732,47.76,-1,2,mid,7923523,0
733,49.42,2,2,mid,7920481,1
734,43.29,2,2,mid,7982732,0
735,55.20,1,2,mid,7911081,0
736,56.10,1,1,new,7917149,1
737,52.24,2,1,mid,7987945,1
738,43.21,2,2,mid,7906567,0
739,46.90,-1,1,new,7967166,0
741,43.21,-1,1,mid,7912041,0
742,43.32,1,2,mid,7994404,0
