prim_okved,zsk,inn_type,company_age,phone_mask,is_fraud
53.20.3,-1,2,old,7909411,1
69.20,1,2,mid,7909607,0
49.41,-1,2,old,7906787,0
43.29,2,2,mid,7911545,1
84.11,-1,1,mid,7900158,1
56.10,-1,2,old,7963031,0
47.91,-1,1,mid,7963772,0
53.20.3,-1,2,mid,7926607,0
41.20,1,1,mid,7917925,0
41.20,2,2,mid,7951246,1
62.01,-1,2,mid,7963094,1
93.29,-1,2,mid,7967245,0
96.02,-1,2,mid,7950961,0
46.73.6,2,1,mid,7967726,1
46.90,1,1,old,7983137,1
49.41.1,-1,2,mid,7912465,0
68.32.2,-1,1,mid,7950964,0
49.42,-1,2,mid,7980900,0
15.11,1,1,old,7909653,1
68.20.2,-1,1,mid,7926558,0
47.19,-1,2,old,7917063,0
46.90,1,2,mid,7951308,1
56.10,-1,1,mid,7962074,0
63.99.1,-1,2,mid,7915738,0
43.99,1,1,old,7939755,0
62.01,-1,1,mid,7917650,0
46.90,2,1,mid,7953869,1
81.10,-1,1,mid,7904160,0
43.99.9,-1,2,old,7964492,0
96.02,-1,2,old,7900049,0
47.29,-1,2,mid,7994015,0
46.73.6,2,1,mid,7916701,1
69.20.1,-1,1,new,7992427,0
46.73.6,1,1,mid,7936240,1
47.91,-1,2,mid,7905221,1
46.90,1,1,mid,7985864,1
47.91,-1,2,mid,7932254,0
45.32,1,1,mid,7985544,1
43.21,-1,1,mid,7925328,1
62.01,1,1,mid,7920225,0
68.31.12,-1,2,mid,7903614,0
95.11,-1,2,mid,7902997,0
43.39,-1,1,mid,7992190,1
62.01,1,2,mid,7994426,0
47.91,-1,2,mid,7908072,1
47.78,-1,2,old,7963357,1
43.99.9,1,2,mid,7911644,1
43.21,-1,2,mid,7999289,0
79.11,-1,2,old,7926263,0
56.10,-1,2,mid,7912762,0
47.82.2,-1,2,mid,7965584,0
46.73,-1,2,old,7918684,0
43.21,2,2,mid,7921051,0
43.31,1,1,mid,7916597,0
70.22,-1,1,mid,7921718,1
49.41.2,-1,2,old,7912763,1
56.10,-1,2,old,7922777,0
47.91,1,2,mid,7988283,0
41.20,1,2,mid,7953158,1
46.90,2,1,mid,7952234,1
41.20,-1,1,mid,7929086,1
71.12.1,-1,1,old,7962829,0
46.43.1,-1,1,mid,7960821,0
43.29,1,2,mid,7999292,1
18.12,-1,2,mid,7987297,0
46.73,2,1,mid,7980705,1
52.10,1,1,old,7925677,0
49.41,-1,1,mid,7913757,0
41.20,2,1,mid,7930430,0
47.91,-1,2,mid,7958508,0
68.32,-1,1,mid,7978225,0
43.22,-1,2,mid,7918434,0
31.09,-1,1,mid,7995337,0
41.20,-1,1,new,7936666,0
46.90,2,1,mid,7930802,0
85.41.9,-1,1,mid,7916921,0
41.20,2,2,mid,7912620,0
95.11,-1,2,old,7916318,1
74.20,-1,2,old,7913060,0
47.91,-1,2,mid,7926325,0
43.21,2,2,mid,7982295,1
46.49.42,-1,1,old,7925494,0
46.90,-1,2,mid,7950670,1
59.20,-1,2,mid,7981253,1
96.02,-1,2,new,7988146,0
98.10,1,1,mid,7910566,0
20.42,-1,1,mid,7903103,0
45.20,-1,2,mid,7996938,0
70.22,-1,2,old,7928434,0
90.02,-1,2,mid,7916615,0
93.29,2,1,mid,7904762,0
46.73,2,1,old,7900538,1
41.20,2,1,mid,7967378,1
41.20,2,2,mid,7901868,1
45.32,-1,2,mid,7936888,1
62.01,-1,2,mid,7995340,0
43.29,-1,1,mid,7911921,1
47.59,-1,2,mid,7995337,0
22.23,-1,2,old,7926658,0
47.91,-1,2,old,7977700,0
52.10,1,1,mid,7913907,0
62.01,1,1,mid,7999139,0
43.21,2,2,mid,7987929,1
41.20,-1,1,mid,7982834,1
53.20.3,-1,2,mid,7915243,0
47.91,-1,2,old,7961470,0
46.17,-1,2,mid,7937382,0
46.13,-1,1,mid,7910752,0
47.78,-1,2,new,7928128,0
74.20,-1,2,old,7938553,0
59.11,-1,2,mid,7910454,0
47.91,1,2,mid,7983302,0
53.20,1,1,new,7916594,1
62.01,-1,2,mid,7908176,0
46.90,1,1,old,7932126,0
46.90,-1,1,mid,7925114,1
49.39,-1,2,mid,7930703,0
62.01,-1,2,mid,7952927,0
45.31,1,1,mid,7962666,1
45.31,2,1,mid,7950499,1
47.91.2,-1,1,mid,7912958,0
41.20,1,1,old,7901208,1
95.11,-1,2,mid,7916499,0
28.13,-1,1,mid,7951724,0
49.41,-1,1,mid,7911435,1
62.01,-1,2,mid,7921984,0
74.20,-1,2,mid,7953144,0
41.20,1,1,mid,7969214,1
47.71,-1,2,old,7999607,0
46.73,2,1,mid,7916554,0
47.91,-1,2,old,7977679,0
47.91.2,-1,2,new,7977640,1
47.91,-1,2,mid,7916782,0
62.01,-1,2,old,7905011,0
46.77,1,1,mid,7930284,1
49.31.21,-1,1,mid,7909020,0
49.41,1,1,mid,7916395,1
43.29,-1,2,mid,7960845,0
46.90,1,1,mid,7916973,1
41.20,-1,1,mid,7931387,1
43.31,-1,2,mid,7926547,0
47.11,-1,2,mid,7908285,0
43.21,-1,2,mid,7951080,0
25.11,1,1,mid,7914909,1
43.39,-1,1,mid,7951814,0
49.32,-1,2,mid,7903502,0
25.11,1,1,mid,7980133,1
47.91.1,2,1,mid,7951684,1
68.10,-1,2,new,7953518,0
46.42.11,-1,2,new,7952133,0
46.73.6,2,1,mid,7925404,1
82.11,2,1,mid,7983138,1
85.41.9,-1,2,old,7913971,1
69.20,-1,2,old,7914704,0
46.90,1,1,mid,7951380,0
49.41,1,2,old,7920513,1
45.20,-1,2,mid,7913235,0
41.20,2,1,old,7927678,1
43.21,-1,2,mid,7928406,1
41.20,2,1,mid,7964196,0
79.11,-1,1,old,7922222,0
47.91,-1,2,mid,7916453,0
43.99.5,1,2,new,7987924,1
41.10,2,1,mid,7911047,1
78.10,-1,2,old,7905723,0
47.91,-1,2,mid,7977445,1
31.09,-1,2,mid,7995988,0
49.41,-1,2,new,7915879,0
46.90,1,1,mid,7906653,1
28.41,1,1,old,7918566,0
47.26,-1,2,mid,7983173,1
32.13,-1,2,mid,7901188,0
47.91,-1,2,mid,7928909,0
43.31,2,1,mid,7929077,0
41.20,2,2,mid,7910697,0
49.41,1,1,new,7915741,0
62.02,-1,2,old,7963719,0
94.99,-1,1,mid,7905737,0
16.24,-1,1,mid,7930710,1
22.29,-1,1,new,7916920,0
46.73,1,1,mid,7911513,0
47.75,-1,2,old,7910575,0
47.11,1,1,mid,7963678,0
59.11,-1,2,old,7913833,1
43.22,-1,1,old,7996743,0
47.75,-1,2,mid,7913378,0
49.42,-1,2,mid,7968118,0
46.90,1,1,mid,7983136,1
46.75,-1,1,old,7995307,0
47.91.2,2,1,old,7923187,0
62.09,-1,2,old,7915009,1
41.20,2,1,old,7926936,0
45.32,-1,1,mid,7913987,1
35.30.14,-1,1,old,7908745,0
62.01,-1,2,mid,7921953,0
64.99,-1,1,old,7952875,1
70.22,-1,1,mid,7960266,0
47.91.2,-1,2,mid,7911342,0
41.20,2,1,mid,7913897,1
43.32,-1,2,mid,7913522,1
49.42,-1,2,old,7908512,0
49.32,-1,2,mid,7915116,0
74.10,-1,2,mid,7985482,0
41.20,-1,1,mid,7917109,0
81.21,1,2,mid,7923206,1
46.73.6,1,1,mid,7901990,1
56.10.21,-1,2,new,7963958,0
64.99.7,-1,1,mid,7926078,0
62.01,-1,2,mid,7963075,0
62.02,-1,2,mid,7965117,0
85.41,-1,2,mid,7999799,1
46.90,1,1,mid,7916153,1
46.90,-1,1,mid,7985227,1
41.20,2,1,old,7911513,1
49.41,-1,2,mid,7953018,0
43.32.3,-1,1,mid,7929041,1
46.73,2,2,mid,7902265,0
77.11,1,2,new,7903436,0
43.91,2,1,mid,7906123,1
61.10,-1,2,mid,7903729,0
43.91,1,2,mid,7922161,0
46.41,-1,2,new,7910467,0
47.41,1,1,mid,7985966,1
46.90,2,1,mid,7900099,0
68.31,-1,2,mid,7925271,1
47.72.1,-1,2,old,7921439,1
47.11,1,2,new,7920902,1
01.50,-1,2,mid,7977267,0
45.20,2,2,mid,7913703,1
46.19,-1,1,mid,7982712,0
41.20,-1,1,mid,7919019,0
78.10,2,1,mid,7912752,1
16.10,-1,2,old,7989625,1
62.01,-1,2,old,7911780,1
53.20,-1,2,mid,7928163,0
45.20,-1,2,mid,7994438,1
43.29,2,2,mid,7909959,0
47.91,-1,2,mid,7931540,0
73.11,-1,2,mid,7914399,1
14.19,-1,2,mid,7964919,0
74.10,-1,2,old,7916244,1
46.73,2,2,mid,7983143,0
81.10,2,1,mid,7969215,1
47.91.2,-1,1,mid,7937809,0
41.20,2,1,new,7901900,0
46.90,-1,2,mid,7921123,0
45.31,-1,1,old,7922232,1
46.13,2,2,mid,7921435,1
49.42,-1,2,old,7926202,0
59.11,-1,1,mid,7987831,0
56.10,-1,2,old,7927418,0
46.19,1,1,old,7929348,1
41.20,-1,2,mid,7921359,0
47.91,-1,2,mid,7918210,0
49.41,-1,2,mid,7926569,0
41.20,1,2,mid,7910825,1
63.11,1,1,new,7996693,1
94.20,-1,1,mid,7999457,0
49.42,1,1,mid,7905258,0
73.11,1,1,mid,7911547,1
43.32,2,1,mid,7906883,1
81.22,2,1,mid,7903837,0
46.73,2,1,mid,7985827,1
68.32,-1,2,mid,7950604,0
46.90,1,2,mid,7919369,1
73.11,-1,2,mid,7950948,0
59.11,-1,2,mid,7995626,1
49.31.21,-1,1,mid,7967538,0
43.31,1,1,mid,7962358,1
47.19,-1,2,old,7961300,1
69.10,-1,1,old,7903370,0
43.39,2,1,mid,7903764,0
43.21,-1,2,old,7928315,0
43.21,2,1,mid,7912288,1
45.31,2,2,mid,7909659,1
62.09,-1,1,mid,7914008,0
41.20,-1,2,mid,7929102,0
62.02,-1,1,mid,7922677,0
73.11,-1,2,old,7926931,0
62.03,-1,2,mid,7951690,0
62.01,-1,2,mid,7993416,1
45.31,1,1,mid,7901999,0
47.64,-1,1,old,7977088,0
31.09,-1,1,mid,7903508,0
47.91,-1,2,mid,7920463,0
33.12,-1,2,mid,7937204,0
62.01,-1,2,mid,7919048,0
47.76,-1,2,mid,7999350,0
31.09,-1,2,old,7938556,0
46.52,2,2,mid,7911746,1
46.73,1,1,new,7962103,0
16.21,1,2,old,7911127,1
47.91,-1,2,old,7915702,0
46.38,-1,1,old,7928434,0
46.73,2,2,mid,7933107,1
73.11,1,1,old,7904309,1
74.20,1,2,mid,7913474,1
47.91,1,1,mid,7905855,1
41.10,-1,1,old,7916253,1
53.20,-1,2,mid,7922263,0
43.21,1,1,mid,7922631,1
81.22,-1,2,new,7981441,1
46.90,1,2,old,7951385,0
47.91,-1,2,old,7977266,0
47.91.1,1,2,mid,7996381,0
43.39,1,1,mid,7986723,1
45.31,1,2,mid,7908089,1
46.19,1,1,mid,7916321,1
49.41,-1,2,mid,7929306,0
47.19,-1,2,old,7929385,0
46.90,1,1,old,7951676,1
43.29,-1,1,old,7996456,1
46.73,1,1,mid,7912696,1
43.22,-1,1,mid,7999858,1
73.20,-1,2,mid,7912443,1
41.20,2,1,mid,7964451,0
82.99,2,1,mid,7951735,1
62.01,-1,1,old,7904991,0
95.11,1,2,mid,7916037,1
62.09,2,1,mid,,1
43.12.1,1,1,mid,7916651,1
41.20,2,1,mid,7953513,0
82.92,1,2,mid,7952270,0
78.1,-1,1,mid,7926996,0
46.73,1,2,mid,7912031,0
45.20.3,-1,2,old,7911122,0
62.09,1,2,old,7912203,1
46.51,2,1,mid,7924583,0
47.91,-1,2,old,7926602,0
95.21,1,1,mid,7985967,1
33.12,-1,1,mid,7929635,0
46.52,-1,1,old,7911888,1
96.09,-1,2,new,7950714,0
56.10,-1,1,mid,7906814,0
41.20,2,1,mid,7930239,0
49.32,-1,2,mid,7938435,1
62.09,-1,2,old,7928172,0
45.20,-1,2,mid,7937604,0
45.31,1,1,mid,7996239,1
47.99.2,-1,2,mid,7927243,0
46.90,-1,1,mid,7960958,0
41.20,-1,1,mid,7916085,1
46.73,1,1,old,7905418,1
85.41,-1,2,new,7965541,0
46.73,1,2,mid,7932114,0
62.01,-1,2,old,7921375,0
71.20,-1,1,mid,7912573,1
49.4,-1,2,mid,7925998,0
62.01,1,1,mid,7985974,0
46.18,-1,2,mid,7930277,1
73.11,-1,2,mid,7902631,0
49.41,-1,2,new,7918878,0
49.41,2,1,mid,7983138,1
41.20,-1,1,mid,7915522,1
45.20,-1,2,mid,7922504,0
46.18,-1,1,old,7903296,0
46.90,2,1,mid,7925970,0
46.71,1,1,mid,7961155,1
41.20,2,1,mid,7960164,0
41.20,-1,2,mid,7922898,0
96.0,2,2,mid,7952898,0
43.31,1,1,mid,7969702,1
46.69,-1,1,mid,7982285,0
25.99,-1,1,mid,7908489,0
68.31.31,2,2,mid,7982123,1
46.73,1,1,old,7951862,1
43.32,-1,2,old,7986754,0
96.02.2,-1,2,old,7999691,0
46.90,1,2,mid,7953791,0
45.20,-1,2,mid,7951529,1
81.10,1,2,mid,7952265,0
41.10,1,1,mid,7920292,1
47.91,-1,2,mid,7999099,1
47.78.9,-1,2,new,7930783,0
43.31,2,1,mid,7929396,1
68.32,1,1,mid,7915894,0
45.20,-1,2,old,7963191,0
42.11,-1,2,old,7953892,0
41.10,-1,2,mid,7924811,0
70.22,1,1,mid,7968722,0
46.46.2,-1,1,mid,7901793,0
46.73.4,1,1,old,7911210,1
68.20,-1,2,mid,7913904,0
41.20,-1,2,new,7905742,0
46.44.2,1,1,mid,7930710,1
46.90,2,1,mid,7913785,1
41.20,-1,1,mid,7963942,0
46.90,2,1,mid,7951200,1
62.02,2,2,mid,7981106,1
62.01,1,2,mid,7938889,0
23.61,2,1,mid,7921052,0
47.5,-1,2,old,7916192,0
81.22,1,2,new,7922185,0
62.01,-1,2,old,7968404,1
41.20,-1,2,old,7987536,0
25.62,-1,1,mid,7952262,0
49.41,1,2,mid,7977458,1
87.90,-1,1,old,7952615,0
47.91,2,2,mid,7922201,1
45.32,-1,1,mid,7985966,0
46.45,-1,1,old,7938539,1
46.76,-1,1,mid,7985929,1
43.22,2,2,mid,7961239,0
73.11,-1,2,mid,7918654,1
13.92,-1,2,new,7915837,0
47.19,-1,2,new,7921856,0
95.22,-1,1,new,7926088,1
45.32,-1,2,mid,7985966,1
41.20,1,1,mid,7917295,0
68.31,-1,2,mid,7939715,0
46.90,1,1,mid,7967063,1
68.20,-1,2,mid,7980659,0
46.90,-1,2,old,7916939,0
46.90,2,1,mid,7925626,1
43.29,1,1,old,7931534,0
52.23.1,1,1,mid,7999963,0
46.71,1,1,old,7915814,1
46.73,1,1,old,7952065,1
41.20,-1,1,mid,7915080,1
63.11.1,-1,2,mid,7911604,0
32.99.6,-1,2,old,7913371,1
56.10,-1,2,old,7921391,0
93.29.9,-1,1,mid,7965104,1
46.73.6,-1,1,old,7929128,1
41.20,2,1,mid,7921681,0
41.20,-1,1,old,7915088,0
46.49,-1,1,mid,7908933,1
46.73,1,1,mid,7916033,1
49.41,-1,2,old,7960687,1
69.20,1,2,new,7982278,1
46.90,1,1,mid,7911510,1
45.31,2,1,mid,7951241,1
68.20,2,1,mid,7917815,1
46.73,2,1,mid,7915621,1
43.21,2,2,mid,7900950,1
45.20,2,1,mid,7925228,1
43.29,2,2,mid,7985385,1
46.69,1,1,new,7926898,1
69.10,-1,1,old,7922487,0
43.22,1,1,mid,7951909,1
95.11,-1,2,mid,7913069,1
70.22,-1,1,mid,7981500,1
62.01,-1,2,mid,7900628,0
49.41,2,2,new,7985998,1
47.91,-1,2,mid,7995872,0
81.22,-1,2,new,7922034,0
47.91.2,-1,1,mid,7910115,0
49.41,-1,2,mid,7964646,1
73.11,-1,2,old,7926568,0
93.29,-1,1,mid,7909016,0
45.31,-1,1,mid,7913915,0
46.90,-1,2,mid,7995082,0
43.21,-1,1,mid,7985797,1
46.90,1,2,new,7901277,1
62.02,-1,2,old,7964981,0
27.40,-1,2,new,7982235,0
41.20,2,1,mid,7999227,0
32.13,-1,2,mid,7919184,0
47.21,1,2,mid,7994107,1
47.71,2,2,mid,7996702,0
63.11,1,2,mid,7950849,0
62.09,-1,2,old,7927695,0
49.41,-1,1,mid,7927909,1
47.29,-1,1,old,7951496,0
43.39,-1,2,old,7995324,0
46.90,1,1,mid,7908048,1
43.39,2,2,mid,7981273,1
46.90,2,1,mid,7982675,0
41.20,-1,1,mid,7912792,0
62.02,-1,2,old,7923163,0
43.29,1,2,mid,7960840,1
46.73,2,1,mid,7927977,0
46.73,-1,1,new,7932531,0
73.11,-1,2,old,7963753,0
63.99.1,-1,2,new,7965287,1
62.02,-1,2,mid,7904359,1
63.99.1,-1,2,mid,7967736,0
63.99.1,-1,2,old,7982242,1
14.19,-1,2,mid,7931337,0
41.20,-1,2,mid,7919999,1
45.20,-1,2,mid,7914433,0
46.69,1,1,old,7913900,1
45.20,1,1,mid,7951472,1
63.12,1,2,mid,7951663,1
47.52,-1,2,new,7919766,1
43.39,-1,1,mid,7930268,1
46.90,-1,1,mid,7912204,1
46.73,-1,1,mid,7980516,1
81.21,1,2,mid,7900129,0
43.21,2,2,mid,7915903,0
49.41,-1,1,mid,7912877,0
90.03,-1,2,mid,7910605,0
47.91,-1,2,mid,7921043,0
46.90,2,1,mid,7915327,0
46.73,-1,1,mid,7923175,1
62.01,-1,1,old,7983111,1
47.91.2,1,2,new,7996740,1
46.90,1,1,old,7900073,1
69.20,-1,1,mid,7950336,0
46.73.6,2,1,mid,7925348,1
49.31.21,-1,1,old,7950603,0
49.32,-1,2,mid,7963257,0
61.10.1,2,1,mid,7917877,0
49.32,1,2,old,7999201,1
68.2,-1,2,old,7917937,1
0.00,1,1,mid,7960125,1
49.31,-1,2,new,7963042,0
41.20,2,1,mid,7985047,0
41.20,1,1,mid,7961012,0
41.20,-1,2,new,7964630,1
43.12.3,-1,1,mid,7921769,0
43.99,-1,2,mid,7908300,0
43.91,-1,1,mid,7919618,0
46.76,1,1,mid,7963996,0
49.41.2,-1,2,new,7922261,0
47.78,-1,2,mid,7950033,1
69.20,-1,2,mid,7921904,1
49.42,-1,2,new,7960804,0
41.20,2,2,mid,7919878,0
62.01,-1,2,new,7925076,0
50.20,2,1,mid,7900541,1
69.20,-1,2,mid,7926152,0
64.20,-1,1,old,7963486,0
46.74.3,2,1,mid,7904307,1
46.73,2,1,mid,7962390,0
69.20,1,1,mid,7985465,1
47.91,-1,2,mid,7952724,0
46.74,1,1,mid,7962933,1
46.90,2,1,mid,7912649,0
46.52,1,1,mid,7930889,0
46.72,-1,1,mid,7901282,0
43.99,-1,2,mid,7931587,0
41.20,-1,1,mid,7985216,1
91.01,-1,2,mid,7913678,0
47.91,-1,2,mid,7925890,0
47.99.1,-1,2,mid,7926113,1
49.41,-1,2,old,7926251,1
49.42,-1,2,old,7922220,1
45.31,1,1,mid,7925804,0
46.73,2,1,mid,7912809,1
41.20,-1,2,mid,7908021,1
47.91,-1,2,mid,7909909,0
46.72.2,-1,1,mid,7911818,1
47.59.1,-1,1,mid,7923355,0
45.3,-1,2,old,7920430,0
43.32,-1,2,mid,7983303,0
68.32,-1,2,old,7926877,0
43.31,-1,2,mid,7950969,1
95.11,-1,2,mid,7996770,1
47.91,-1,2,old,7993011,0
43.34,2,1,mid,7906104,0
46.90,-1,1,mid,7911837,1
62.01,-1,2,mid,7982320,0
95.11,-1,2,mid,7910962,1
43.21,2,2,mid,7994437,0
56.10.1,-1,2,mid,7921505,0
46.90,2,2,mid,7904937,1
96.09,1,2,old,7965075,1
47.91,-1,2,mid,7953839,0
63.12,-1,2,mid,7994413,0
41.20,1,1,mid,7967194,1
16.10,1,1,mid,7913228,0
96.02,-1,2,old,7999843,0
62.09,-1,2,old,7919723,0
49.41,2,2,mid,7921250,1
52.24,2,1,mid,7926849,0
74.10,-1,2,mid,7903231,0
47.91,-1,2,old,7913613,1
95.21,1,1,mid,7905647,1
85.41.9,-1,2,old,7964364,0
46.73.1,-1,1,mid,7904326,1
41.20,2,1,mid,7925309,0
62.01,-1,2,mid,7913911,0
46.73.6,-1,2,old,7963317,0
46.69,-1,1,mid,7910126,0
49.32,-1,2,mid,7988526,0
42.22,2,1,mid,7995847,1
33.12,-1,2,mid,7928451,0
82.11,2,2,mid,7999196,0
47.19,-1,2,mid,7930420,0
94.99,-1,1,mid,7910405,0
64.92.7,1,1,new,7912049,0
46.72,-1,2,new,7937236,0
81.30,1,2,mid,7962858,1
63.11,-1,1,mid,7996346,1
43.11,-1,2,mid,7920135,0
69.20,-1,1,mid,7995477,0
43.39,2,1,mid,7919617,0
46.73.6,2,1,mid,7916514,1
47.42,-1,2,mid,7919929,0
62.01,-1,2,mid,7925998,0
73.11,2,1,mid,7913464,1
47.30.2,-1,2,old,7926577,0
56.30,-1,2,mid,7980563,0
47.91,-1,2,old,7995908,0
62.01,-1,2,old,7904553,0
41.20,1,1,mid,7968894,1
23.99,1,1,mid,7922200,0
95.24,-1,2,old,7951848,0
47.91,-1,2,old,7925200,0
49.42,2,2,mid,7953581,0
62.02,-1,2,mid,7999519,0
47.52.79,-1,2,old,7950815,0
63.11,1,2,new,7987795,0
46.90,1,1,mid,7928142,1
46.90,2,2,mid,7962247,0
43.29,-1,1,old,7910373,1
47.11,-1,2,mid,7950410,1
46.90,2,1,mid,7967633,0
47.11,-1,2,old,7999333,0
45.32,-1,2,mid,7919713,1
43.21,-1,2,new,7986915,0
46.73.4,2,1,old,7913799,1
47.91,-1,2,mid,7925302,1
43.29,2,2,mid,7901037,1
45.32,-1,2,mid,7961302,1
81.29,1,2,mid,7920677,1
46.32,1,1,mid,7920202,1
46.73,2,1,old,7967737,1
47.52.7,-1,2,mid,7929991,0
46.32.1,1,1,mid,7963220,0
43.21,-1,2,mid,7910833,1
47.91,-1,2,mid,7989262,0
43.29,-1,1,mid,7982298,1
43.39,2,1,mid,7926184,1
45.31,1,2,mid,7993934,1
69.10,-1,2,mid,7931341,0
46.45,1,1,mid,7921005,1
47.91.2,-1,2,mid,7965044,0
49.39,-1,2,old,7916199,0
49.42,1,2,old,7939377,1
43.39,2,2,mid,7986950,1
71.12,-1,1,mid,7903256,0
46.71,1,1,mid,7985880,1
73.11,-1,2,old,7963538,0
62.01,1,2,mid,7927610,0
71.12,-1,2,old,7929400,0
49.41,1,1,mid,7966503,0
45.32,-1,2,mid,7918175,1
49.32,-1,2,mid,7912581,0
18.12,-1,2,old,7909409,0
46.73,2,1,old,7952069,1
43.32,2,2,mid,7963086,1
47.76,-1,2,mid,7923523,0
49.42,2,2,mid,7920481,1
43.29,2,2,mid,7982732,0
55.20,1,2,mid,7911081,0
56.10,1,1,new,7917149,1
52.24,2,1,mid,7987945,1
43.21,2,2,mid,7906567,0
46.90,-1,1,new,7967166,0
43.21,-1,1,mid,7912041,0
43.32,1,2,mid,7994404,0
69.10,-1,1,old,7925266,0
43.33,1,2,old,7908939,1
22.22,-1,1,mid,7906116,0
43.21,-1,2,mid,7922018,0
25.61,2,1,mid,7922128,1
41.20,-1,1,mid,7951410,0
73.20,2,1,mid,7919162,1
45.20.3,-1,2,mid,7961281,0
33.19,2,1,mid,7912496,1
64.19,-1,1,mid,7925148,0
85.41,-1,2,old,7977822,0
18.12,-1,2,old,7905408,1
43.31,2,1,mid,7917945,0
63.11,-1,2,old,7928164,0
49.41.1,2,2,mid,7982607,1
61.10,-1,2,old,7926360,0
31.01,-1,2,mid,7982888,0
43.31,-1,2,old,7966046,0
41.20,2,2,mid,7909010,1
41.20,-1,1,mid,7913489,1
25.61,2,2,mid,7980321,0
79.11,-1,2,mid,7926538,0
49.41,-1,2,mid,7933310,0
81.22,2,2,mid,7966820,1
46.71,1,1,mid,7985803,0
45.20.3,-1,2,old,7913939,1
47.11,-1,2,old,7909319,0
79.11,-1,2,old,7910971,0
49.41,2,2,mid,7982111,0
25.11,-1,2,old,7985700,1
41.20,-1,1,old,7927743,1
47.11,-1,2,mid,7978729,0
43.12,-1,2,mid,7995461,0
47.77.1,-1,2,old,7953102,1
46.49,-1,1,old,7929618,1
49.41,2,2,mid,7917156,0
47.91,-1,2,old,7967230,0
46.90,-1,1,old,7921767,0
55.20,1,1,new,7921441,0
47.7,-1,2,mid,7967146,0
41.20,-1,1,mid,7913227,1
10.13,-1,2,mid,7912855,1
43.39,2,2,mid,7915583,1
95.29,-1,2,mid,7980190,0
43.22,-1,1,mid,7983269,1
46.18.91,1,1,old,7930112,1
47.91,1,1,new,7920855,0
77.40,-1,2,mid,7921723,1
14.11.2,1,2,mid,7982823,1
47.51,-1,2,mid,7951120,1
46.4,-1,2,mid,7999465,1
45.20,-1,2,new,7920106,0
45.32,-1,2,mid,7961312,0
41.20,-1,1,mid,7912083,0
41.20,-1,1,mid,7953864,1
43.31,-1,2,mid,7923473,1
43.39,-1,2,mid,7965744,0
63.91,-1,2,old,7953490,0
47.71,-1,2,mid,7929337,0
70.22,-1,2,old,7903005,0
43.29,2,2,mid,7963946,0
41.20,2,2,mid,7904093,0
41.20,-1,1,mid,7925124,1
47.91.2,-1,2,mid,7951643,0
66.30,-1,1,mid,7928263,0
41.20,2,1,mid,7901279,0
49.41,2,1,mid,7980656,0
62.01,-1,2,old,7916856,0
41.20,2,1,mid,7951785,1
46.39,-1,1,mid,7908089,1
74.10,-1,2,mid,7987844,0
43.31,-1,2,old,7996038,1
43.29,2,2,mid,7912872,1
47.76,-1,2,mid,7981725,0
46.90,-1,1,old,7926906,0
96.02,-1,2,mid,7996709,0
47.91,-1,2,mid,7918104,0
68.32,1,1,new,7902505,0
82.99,1,1,mid,7986762,1
47.91,-1,2,mid,7925555,0
43.29,-1,1,mid,7916097,1
43.34,1,2,mid,7951151,1
